Supermercado,Fecha_extraccion,Categoria,Articulo,Precio,id,Nombre_Extraido,Detalle_Extraido,Marca_Extraida,Cantidad_Extraida
IBERIA,03-09-2025 17:49:52,Abarrotes,HEINZ KETCHUP FLEX 198 G,59.0,693,KETCHUP FLEX,,HEINZ,198 g
IBERIA,03-09-2025 19:45:12,Bebes,HEINZ COMPOTA CRECIDITOS PERA,58.0,1574,Compota,de pera y creciditos (tamaño no especificado en la descripción),Heinz,no especificada
IBERIA,03-09-2025 17:49:52,Abarrotes,HATUEY GALLETAS HONEY GRAHAM,100.0,692,GALLETAS HONEY GRAHAM,,HATUEY,
IBERIA,03-09-2025 17:49:52,Abarrotes,HEINZ KETCHUP REGULAR FLEX 14 OZ,100.0,694,Ketchup regular,,Heinz,14 oz
IBERIA,03-09-2025 19:45:12,Bebes,HEINZ COMPOTA CRECIDITOS POSTRE DE FRUTA,58.0,1575,Compota Creciditos Postre de Fruta,,HEINZ,
IBERIA,03-09-2025 20:41:05,Panaderia y Reposteria,BOLIN PAN VIGA MEDIANA,155.0,1638,BOLIN PAN VIGA MEDIANA,,BOLIN,
IBERIA,03-09-2025 19:45:12,Bebes,HEINZ COMPOTA MANZANA – FLEX PACK 113 G,38.0,1576,Compota de Manzana,FLEX PACK,HEINZ,113 g
IBERIA,03-09-2025 17:49:52,Abarrotes,HEINZ MOSTAZA YELLOW (ENV.PLASTICO) 14 O,310.0,695,Mostaza,Yellow,Heinz,14 oz
IBERIA,03-09-2025 20:41:05,Panaderia y Reposteria,BOLIN PAN DOGGY PARA HOT DOG 8 UD,105.0,1637,BOLIN PAN DOGGY PARA HOT DOG,,Doggie,8 UD
IBERIA,03-09-2025 20:41:05,Panaderia y Reposteria,PAN GRANIX VIGA INTEGRAL GRANDE,200.0,1639,PAN GRANIX VIGA INTEGRAL GRANDE,,GRANIX,
IBERIA,03-09-2025 19:45:12,Bebes,HEINZ COMPOTA MELOCOTON – FLEX PACK 113,38.0,1577,Compota Melocotón,,Heinz,113g
IBERIA,03-09-2025 17:49:52,Abarrotes,HEINZ VINAGRE APPLE CIDER 16 OZ,210.0,696,VINAGRE APPLE CIDER,,HEINZ,16 OZ
IBERIA,03-09-2025 20:41:05,Panaderia y Reposteria,PAN PUEBLO VIGA MEDIANA,135.0,1640,PAN PUEBLO VIGA MEDIANA,,PUEBLO,
IBERIA,03-09-2025 19:45:12,Bebes,HEINZ COMPOTA PERA – FLEX PACK 113 GR,40.0,1578,Compota de Pera,,HEINZ,113 gr
IBERIA,23-09-2025 15:51:58,Abarrotes,GATORADE  FRUIT PUNCH 600 ML,50.0,1641,GATORADE,FRUIT PUNCH,GATORADE,600 ML
IBERIA,03-09-2025 17:49:52,Abarrotes,HEINZ VINAGRE APPLE CIDER 32 OZ,395.0,697,VINAGRE APPLE CIDER,,HEINZ,32 OZ
IBERIA,03-09-2025 19:45:12,Bebes,OLI COMPOTA FLEX DE PERA 113 GR,38.0,1579,Compota de Pera,Flex (posiblemente una línea o variedad del producto),OLI,113 gr
IBERIA,03-09-2025 17:49:52,Abarrotes,HEINZ VINAGRE BLANCO 16 OZ,175.0,698,VINAGRE BLANCO,,HEINZ,16 OZ
IBERIA,13-11-2025 13:14:52,Hogar,Envase de Aluminio con tapas 4 Divisiones,840.0,1642,Envase de Aluminio con tapas 4 Divisiones,,,
IBERIA,03-09-2025 19:45:12,Bebes,OLI COMPOTA FLEX MANZANA 113 GR,38.0,1580,Compota,"Manzana, Flex (presentación envasada individual)",Oli,113 gr
IBERIA,13-11-2025 13:14:52,Hogar,Envase Plástico 1 unidad,265.0,1643,Envase Plástico,,,1 unidad
IBERIA,03-09-2025 18:01:08,Abarrotes,HEINZ VINAGRE BLANCO 32 OZ,270.0,699,VINAGRE BLANCO,,HEINZ,32 OZ
IBERIA,03-09-2025 19:58:29,Cafeteria y Restaurante,DVALLE JUGO PERA 946ML,75.0,1581,JUGO PERA,,DVALLE,946ml
IBERIA,03-09-2025 18:01:08,Abarrotes,HELLMANN S MAYONESA 15 OZ,195.0,700,Mayonesa,,Hellmann's,15 oz
IBERIA,13-11-2025 13:14:52,Hogar,Envase Plástico 4 divisiones,299.0,1644,Envase Plástico 4 divisiones,,,
IBERIA,03-09-2025 19:58:29,Cafeteria y Restaurante,DVALLE JUGO DE MANZANA 946ML,70.0,1582,JUGO DE MANZANA,,DVALLE,946ml
IBERIA,03-09-2025 18:01:08,Abarrotes,HELLMANNS MAYONNAISE LIGHT 12X15OZ,135.0,701,MAYONNAISE,LIGHT,HELLMANNS,12X15OZ
IBERIA,13-11-2025 13:14:52,Hogar,Fuente de Cristal,415.0,1645,Fuente de Cristal,,,
IBERIA,03-09-2025 20:02:59,Cosmeticos,BABA DE CARACOL GOTAS 4 OZ,180.0,1583,Baba de Caracol,Gotas,,4 Oz
IBERIA,13-11-2025 13:14:52,Hogar,Fuente Porcelana con tapa,390.0,1646,Fuente Porcelana,,,
IBERIA,03-09-2025 20:02:59,Cosmeticos,COLG LUMINOUS WHITE WINE STAINS 70G,250.0,1584,Luminous White Wine Stains,,COLG,70g
